Name,Note ID,Notes,Description,Operator,Value,Multiple,Table Title,Table ID,Table Number,Source File,Chapter/Topic Full Path,Rule Hint
12NESD.0,-,-,Min./Max. 12V_MK enclose DNWELL.,==,0,,12V ESD NMOS Design Rules,5.12.3.2.1.129,129,fn51311797.dita,Reliability Guidelines->ESD Layout Guidelines->HV ESD Device Design Rules->12V ESD NMOS Connected to I/O Pad Design Rules->12V ESD NMOS Design Rules (ggesdnsh_12Vdd_iso),
12NESD.1,-,-,Min./Max. ESD_HBM_MK enclosure of DNWELL.,==,0,,12V ESD NMOS Design Rules,5.12.3.2.1.129,129,fn51311797.dita,Reliability Guidelines->ESD Layout Guidelines->HV ESD Device Design Rules->12V ESD NMOS Connected to I/O Pad Design Rules->12V ESD NMOS Design Rules (ggesdnsh_12Vdd_iso),
12NESD.10,-,-,"For each multi-finger device, min./max. finger number.",==,40,,12V ESD NMOS Design Rules,5.12.3.2.1.129,129,fn51311797.dita,Reliability Guidelines->ESD Layout Guidelines->HV ESD Device Design Rules->12V ESD NMOS Connected to I/O Pad Design Rules->12V ESD NMOS Design Rules (ggesdnsh_12Vdd_iso),
12NESD.11,-,-,"For multi-finger devices, there shall be alternate source and drain around the poly fingers. In other words, between two poly fingers of the multi-finger transistor, there cannot be source as well as drain.",-,-,,12V ESD NMOS Design Rules,5.12.3.2.1.129,129,fn51311797.dita,Reliability Guidelines->ESD Layout Guidelines->HV ESD Device Design Rules->12V ESD NMOS Connected to I/O Pad Design Rules->12V ESD NMOS Design Rules (ggesdnsh_12Vdd_iso),
12NESD.12,-,-,Both sides of the transistor shall be terminated by source.,-,-,,12V ESD NMOS Design Rules,5.12.3.2.1.129,129,fn51311797.dita,Reliability Guidelines->ESD Layout Guidelines->HV ESD Device Design Rules->12V ESD NMOS Connected to I/O Pad Design Rules->12V ESD NMOS Design Rules (ggesdnsh_12Vdd_iso),
12NESD.13,-,-,Min./Max. SAB enclose poly in drain direction.,==,3.9,,12V ESD NMOS Design Rules,5.12.3.2.1.129,129,fn51311797.dita,Reliability Guidelines->ESD Layout Guidelines->HV ESD Device Design Rules->12V ESD NMOS Connected to I/O Pad Design Rules->12V ESD NMOS Design Rules (ggesdnsh_12Vdd_iso),
12NESD.14,-,-,Min./Max. drain contact to poly spacing (DCGS).,==,4,,12V ESD NMOS Design Rules,5.12.3.2.1.129,129,fn51311797.dita,Reliability Guidelines->ESD Layout Guidelines->HV ESD Device Design Rules->12V ESD NMOS Connected to I/O Pad Design Rules->12V ESD NMOS Design Rules (ggesdnsh_12Vdd_iso),
12NESD.15,-,-,Min./Max. SAB enclose poly in source direction.,==,0.28,,12V ESD NMOS Design Rules,5.12.3.2.1.129,129,fn51311797.dita,Reliability Guidelines->ESD Layout Guidelines->HV ESD Device Design Rules->12V ESD NMOS Connected to I/O Pad Design Rules->12V ESD NMOS Design Rules (ggesdnsh_12Vdd_iso),
12NESD.16,-,-,Min./Max. source contact to gate spacing (SCGS).,==,0.5,,12V ESD NMOS Design Rules,5.12.3.2.1.129,129,fn51311797.dita,Reliability Guidelines->ESD Layout Guidelines->HV ESD Device Design Rules->12V ESD NMOS Connected to I/O Pad Design Rules->12V ESD NMOS Design Rules (ggesdnsh_12Vdd_iso),
12NESD.17,-,-,Min. PWHV enclose Pplus guarding.,>=,2,,12V ESD NMOS Design Rules,5.12.3.2.1.129,129,fn51311797.dita,Reliability Guidelines->ESD Layout Guidelines->HV ESD Device Design Rules->12V ESD NMOS Connected to I/O Pad Design Rules->12V ESD NMOS Design Rules (ggesdnsh_12Vdd_iso),
