"Number","Data Layer Name","Cadence Layer Name","Cadence Layer Purpose","Layer Technology Node","Layer Status","Layer Category","Layer Sub Category","Layer Description","Design Layer","Tech Variant - Included in PDK","Customer","Layer Type","Mask Layer Sub-Type","Intermediate Layer Type","Intermediate Layer Sub-Type","GDS Number","GDS Datatype","Oasis Number","Oasis Datatype","Cadence Material Type/Qualifier","Cadence Photo Mask Color/Color State","Cadence Name OA Number","Cadence Purpose OA Number","MDP GDS Number","MDP GDS Datatype","MDP Oasis Number","MDP Oasis Datatype","MDP Layer Type","Associated Mask","Logic Definition","Layers Driving Mask Requirement","Influencing Layers","Photo Layer Short Designation","Display","Mask Number","Related LV","Extended Data Layer Name","Extended GDS Data Type","Extended GDS Number","Extended MDP GDS Data Type","Extended MDP GDS Number","Extended MDP OASIS Data Type","Extended MDP OASIS Number","Extended OASIS Data Type","Extended OASIS Number","Mask Write Boolean","Layer Specific Reference"
"LV-0000194042","PM1_BOP","NIL","NIL","180BSL","Active","Marker Packaging",,"Polymide1 opening for Bump on Pad (BOP).","No",,,"Drawn",,,,"35","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194048","HVDNW_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HVDNW layer.","No",,,"Drawn",,,,"36","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194049","STD_ROM_GF","NIL","NIL","180BSL","Active","Marker Devices",,"ROM Cell Marker Layer (GF).","No",,,"Drawn",,,,"37","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194047","Metal2_CD","NIL","NIL","180BSL","Active","Common Design BEOL",,"Metal2_CD layer.","No",,,"Drawn",,,,"36","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194046","Metal2_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"Metal2_SPE layer.","No",,,"Drawn",,,,"36","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194067","Via4_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with Via4 layer.","No",,,"Drawn",,,,"41","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194068","Via4_Bar","NIL","NIL","180BSL","Active","Common Design BEOL",,"Rectangular via for connecting Metal4 and Metal5.","No",,,"Drawn",,,,"41","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194091","NOLDD","NIL","NIL","180BSL","Active","Design Utility",,"LDD exclude marking layer.","No",,,"Drawn",,,,"46","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194086","Poly3_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"Poly3_CD layer.","No",,,"Drawn",,,,"45","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194087","NSC_Dualgate","NIL","NIL","180BSL","Active","Design Utility",,"NSCore special layer, Indicate special N Ch device, used at LDD block and Dualgate.","No",,,"Drawn",,,,"45","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194092","Metal4_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"Metal4_SPE layer.","No",,,"Drawn",,,,"46","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194094","TN_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"TN_SPE layer.","No",,,"Drawn",,,,"47","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194093","Metal4_CD","NIL","NIL","180BSL","Active","Common Design BEOL",,"Metal4_CD layer.","No",,,"Drawn",,,,"46","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194099","CFPOLY","NIL","NIL","180BSL","Active","Design Utility",,"Contact floating polysilicon.","No",,,"Drawn",,,,"48","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194100","SAB_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"SAB_SPE layer.","No",,,"Drawn",,,,"49","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194098","PPROTECT","NIL","NIL","180BSL","Active","Common Design FEOL",,"For protection against Pplus implantation.","No",,,"Drawn",,,,"47","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194097","TN_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"TN_CD layer.","No",,,"Drawn",,,,"47","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194095","TN_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with TN layer.","No",,,"Drawn",,,,"47","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194096","TN_Dummy","NIL","NIL","180BSL","Active","Fill",,"TN_Dummy layer.","No",,,"Drawn",,,,"47","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194085","Poly3_Dummy","NIL","NIL","180BSL","Active","Fill",,"Poly3 Dummy Fill.","No",,,"Drawn",,,,"45","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194084","Poly3_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with Poly3 layer.","No",,,"Drawn",,,,"45","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194073","Metal3_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"Metal3_SPE layer.","No",,,"Drawn",,,,"42","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194074","Metal3_CD","NIL","NIL","180BSL","Active","Common Design BEOL",,"Metal3_CD layer.","No",,,"Drawn",,,,"42","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194069","CMTCORE1","NIL","NIL","180BSL","Active","DataPrep Marker",,"CMTCORE1 layer.","No",,,"Drawn",,,,"41","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194075","CAPIMP","NIL","NIL","180BSL","Active","Common Design FEOL",,"Special IMP area.","No",,,"Drawn",,,,"42","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194077","PWHV_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"PWHV_SPE layer.","No",,,"Drawn",,,,"44","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194076","CELLSAB","NIL","NIL","180BSL","Active","Design Utility",,"Extra SAB area.","No",,,"Drawn",,,,"43","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194082","CELLOD2","NIL","NIL","180BSL","Active","Design Utility",,"Special Dualgate area.","No",,,"Drawn",,,,"44","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194083","Poly3_SPE","NIL","NIL","180BSL","Active","DataPrep Marker",,"Poly3_SPE layer.","No",,,"Drawn",,,,"45","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194081","PWHV_CD","NIL","NIL","180BSL","Active","DataPrep Marker",,"PWHV_CD layer.","No",,,"Drawn",,,,"44","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194080","PWHV_Dummy","NIL","NIL","180BSL","Active","Fill",,"PWHV_Dummy layer.","No",,,"Drawn",,,,"44","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194078","PWHV_NBNOPC","NIL","NIL","180BSL","Active","OPC",,"PWHV_NBNOPC layer.","No",,,"Drawn",,,,"44","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194079","PWHV_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with PWHV layer.","No",,,"Drawn",,,,"44","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194102","SAB_Dummy","NIL","NIL","180BSL","Active","Fill",,"SAB_Dummy layer.","No",,,"Drawn",,,,"49","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000194171","FuseWindow_Label","NIL","NIL","180BSL","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with FuseWindow layer.","No",,,"Drawn",,,,"96","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
