Name,Note ID,Notes,Description,Operator,Value,Multiple,Table Title,Table ID,Table Number,Source File,Chapter/Topic Full Path,Rule Hint
12NESD.10,-,-,Min. Total channel width to achieve 2KV ESD requirement.,>=,500,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.11,-,-,Min./Max. SAB overlap Poly2.,=,0.05,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.12,-,-,Min./Max. SAB overlap drain Nplus.,=,1.78,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.1a,-,-,12V GGNMOS used for ESD protection should be enclosed by ESD_MK and 12V_MK.,-,-,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.1b,-,-,ESD_MK min. enclose PWHV.,>=,0,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.1c,-,-,12_MK min. enclose PWHV.,>=,0,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.2,-,-,12V GGNMOS that share the same PWHV with other HV devices are not allowed.,-,-,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.3,-,-,"Min./Max. channel length for each finger (""L"".",=,1.1,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.4a,-,-,Min. HVNDDD overlap COMP on channel width direction.,>=,1,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
12NESD.5,-,-,Min./Max. Poly2 space to HVNDDD.,=,0.1,,12V GGNMOS Device Design Rules (20V GGNMOS),4.4.2.9.194,194,fn97199975.dita,Reliability Guidelines->ESD Design Rules and Guidelines->High Current Behavior of ESD Device Elements and Layout Guidelines->12V GGNMOS Device Design Rules (20V GGNMOS),
