Layer Mapping Number,Layer Mapping Part Type,Layer Number,Layer Type,Input GDS Number,Input GDS Data Type,Output GDS Number,Output GDS Data Type,Input Oasis Number,Input Oasis Data Type,Output Oasis Number,Output Oasis Data Type,Extended Layer Number,Extended Input GDS Number,Extended Input GDS Data Type,Extended Output GDS Number,Extended Output GDS Data Type,Extended Input Oasis Number,Extended Input Oasis Data Type,Extended Output Oasis Number,Extended Output Oasis Data Type
LM-0001.091,Layer Mapping Table,Mask_Zener_Pimp_6Q_Generic,Layer,155,0,155,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Zener_Nimp_6R_Generic,Layer,13,28,13,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_ZVT_1B_Generic,Layer,141,0,141,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_ZPVT_1C_Generic,Layer,150,0,150,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_ZON_6C_Generic,Layer,84,0,84,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_ZMK_BT_Generic,Layer,16,29,16,29,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_ZERO_MASK_00_Generic,Layer,221,0,221,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_ZENER_2C_Generic,Layer,178,0,178,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Win2_9C_Generic,Layer,91,0,91,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_ViaTop_9R_Generic,Layer,129,0,129,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_ViaRDL_9X_Generic,Layer,170,0,170,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Via8_A6_Generic,Layer,71,28,71,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Via7_9W_Generic,Layer,140,0,140,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Via6_9P_Generic,Layer,127,0,127,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Via5_9D_Generic,Layer,82,0,82,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Via4_97_Generic,Layer,41,0,41,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Via3_94_Generic,Layer,40,0,40,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Via2_91_Generic,Layer,38,0,38,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Via1_85_Generic,Layer,35,0,35,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_VT_ADJ_33_Generic,Layer,52,0,52,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_VIA_METAL_STRAP_AO_Generic,Layer,51,28,51,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_U5SSM_BG_Generic,Layer,93,28,93,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Trench_imp_1S_Generic,Layer,15,28,15,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Trench_12_Generic,Layer,6,0,6,0,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_TUNOX_35_Generic,Layer,27,0,27,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_TP_64_Generic,Layer,10,0,10,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_TN_61_Generic,Layer,47,0,47,0,NIL,NIL,NIL,NIL,,,,,,,,,
