"Number","Data Layer Name","Cadence Layer Name","Cadence Layer Purpose","Layer Technology Node","Layer Status","Layer Category","Layer Sub Category","Layer Description","Design Layer","Tech Variant - Included in PDK","Customer","Layer Type","Mask Layer Sub-Type","Intermediate Layer Type","Intermediate Layer Sub-Type","GDS Number","GDS Datatype","Oasis Number","Oasis Datatype","Cadence Material Type/Qualifier","Cadence Photo Mask Color/Color State","Cadence Name OA Number","Cadence Purpose OA Number","MDP GDS Number","MDP GDS Datatype","MDP Oasis Number","MDP Oasis Datatype","MDP Layer Type","Associated Mask","Logic Definition","Layers Driving Mask Requirement","Influencing Layers","Photo Layer Short Designation","Display","Mask Number","Related LV","Extended Data Layer Name","Extended GDS Data Type","Extended GDS Number","Extended MDP GDS Data Type","Extended MDP GDS Number","Extended MDP OASIS Data Type","Extended MDP OASIS Number","Extended OASIS Data Type","Extended OASIS Number","Mask Write Boolean","Layer Specific Reference"
"LV-0000107055","ALPad_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer ALPad_NBNOPC.","No",,,"Drawn",,,,"130","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000107056","ALPad_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with ALPad layer.","No",,,"Drawn",,,,"130","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106970","DV3_PLDD_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV3_PLDD layer.","No",,,"Drawn",,,,"169","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106969","DV3_SPE","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer DV3_SPE.","No",,,"Drawn",,,,"167","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106972","DV3_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer DV3_NBNOPC.","No",,,"Drawn",,,,"167","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106971","DV3_NLDD_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV3_NLDD layer.","No",,,"Drawn",,,,"168","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106968","DVLVTN_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DVLVTN layer.","No",,,"Drawn",,,,"70","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106973","DV3_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV3 layer.","No",,,"Drawn",,,,"167","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106966","DVNwell_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer DVNwell_NBNOPC.","No",,,"Drawn",,,,"181","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106967","DVNwell_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DVNwell layer.","No",,,"Drawn",,,,"181","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106962","DualGate_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with Dualgate layer.","No",,,"Drawn",,,,"55","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106961","Dualgate_CD","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer Dualgate_CD.","No",,,"Drawn",,,,"55","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106964","D_CAP","NIL","NIL","130G-LP","Active","Design Utility",,"ONO film stack region.","No",,,"Drawn",,,,"29","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106963","D_TRENCH_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with D_Trench layer.","No",,,"Drawn",,,,"61","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106974","DV3_Dummy","NIL","NIL","130G-LP","Active","Fill",,"Layer DV3_Dummy.","No",,,"Drawn",,,,"167","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106965","DV_D","NIL","NIL","130G-LP","Active","Design Utility",,"Drawn layer for thick gate oxide area in a dual voltage process.","No",,,"Drawn",,,,"228","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106976","DV3Pwell_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV3Pwell layer.","No",,,"Drawn",,,,"166","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106975","DV3_CD","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer DV3_CD.","No",,,"Drawn",,,,"167","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106986","DV2_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer DV2_NBNOPC.","No",,,"Drawn",,,,"144","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106985","DV2_NLDD_CD","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer DV2_NLDD_CD.","No",,,"Drawn",,,,"145","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106988","DV2_Dummy","NIL","NIL","130G-LP","Active","Fill",,"Layer DV2_Dummy.","No",,,"Drawn",,,,"144","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106987","DV2_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV2 layer.","No",,,"Drawn",,,,"144","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106984","DV2_NLDD_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV2_NLDD layer.","No",,,"Drawn",,,,"145","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106982","DV2_PLDD_CD","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer DV2_PLDD_CD.","No",,,"Drawn",,,,"146","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106983","DV2_NLDD_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer DV2_NLDD_NBNOPC.","No",,,"Drawn",,,,"145","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106978","DV3Nwell_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV3Nwell layer.","No",,,"Drawn",,,,"165","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106977","DV3Nwell_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"DV3Nwell_NBNOPC 165;31.","No",,,"Drawn",,,,"165","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106980","DV2_PLDD_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer DV2_PLDD_NBNOPC.","No",,,"Drawn",,,,"146","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106979","DV2_SPE","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer DV2_SPE.","No",,,"Drawn",,,,"144","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106960","Dualgate_Dummy","NIL","NIL","130G-LP","Active","Fill",,"Layer Dualgate_Dummy.","No",,,"Drawn",,,,"55","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106981","DV2_PLDD_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with DV2_PLDD layer.","No",,,"Drawn",,,,"146","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106958","Dualgate_SPE","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer Dualgate_SPE.","No",,,"Drawn",,,,"55","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106959","Dualgate_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer Dualgate_NBNOPC.","No",,,"Drawn",,,,"55","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106938","HVDMY_HV","NIL","NIL","130G-LP","Active","Common Design FEOL",,"12V or above HV device mark layer (7_0.153_CE, MTK input, 141;212).","No",,,"Drawn",,,,"141","212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106937","HVDMY_LV","NIL","NIL","130G-LP","Active","Common Design FEOL",,"12V-below HV device mark layer (7_0.153_CE, MTK input, 141;211).","No",,,"Drawn",,,,"141","211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106940","HPVT_PKT_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HPVT_PKT layer.","No",,,"Drawn",,,,"233","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106939","HVDMY_9V","NIL","NIL","130G-LP","Active","Common Design FEOL",,"9V s.LDMOS marker, pDrift1 boolean (7_0.153_CE, MTK input, 214;19).","No",,,"Drawn",,,,"214","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106936","HVDNW_CD","NIL","NIL","130G-LP","Active","DataPrep Marker",,"Layer HVDNW_CD.","No",,,"Drawn",,,,"14","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106941","HNVT_PKT_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HNVT_PKT layer.","No",,,"Drawn",,,,"232","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106934","HVDNW_NBNOPC","NIL","NIL","130G-LP","Active","OPC",,"Layer HVDNW_NBNOPC.","No",,,"Drawn",,,,"14","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106935","HVDNW_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HVDNW layer.","No",,,"Drawn",,,,"36","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106930","HVNDDD2_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HVNDDD2 layer.","No",,,"Drawn",,,,"85","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106929","HVNDDD_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with HVNDDD layer.","No",,,"Drawn",,,,"202","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106932","HVLDNSD","NIL","NIL","130G-LP","Active","Common Design FEOL",,"HVLDNMOS Drain Extension.","No",,,"Drawn",,,,"13","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106931","HVLDPSD","NIL","NIL","130G-LP","Active","Common Design FEOL",,"HVLDPMOS Drain Extension.","No",,,"Drawn",,,,"12","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV-0000106942","FuseWindow_Label","NIL","NIL","130G-LP","Active","Design Utility",,"Used for LOGO or characters that do not require any logical operation/OPC, will be merged with FuseWindow layer.","No",,,"Drawn",,,,"96","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
